Person ID,Name,Freebase ID
735,Arthur F. Repola,
736,Menno Meyjes,
737,Jeffrey Boam,/en/jeffrey_boam
738,Sean Connery,/en/sean_connery
739,Alison Doody,/en/alison_doody
740,Julian Glover,/en/julian_glover
741,River Phoenix,/en/river_phoenix
742,Michael Byrne,/en/michael_byrne
743,Kevork Malikyan,/en/kevork_malikyan
744,Robert Eddison,
745,Richard Young,/en/richard_young
746,Alexei Sayle,/en/alexei_sayle
747,Alex Hyde-White,/en/alex_hyde-white
748,Paul Maxwell,
749,Isla Blair,/en/isla_blair
750,Maggie Cartier,
751,Valorie Massalas,
752,Judy Taylor,
758,Bero Beyer,
759,Antoine Héberlé,
760,Sander Vos,
762,Ali Suliman,
764,Amer Hlehel,
765,Hiam Abbass,
766,Ashraf Barhom,
767,Jina Sumedi,
768,Pierre Hodgson,
769,Martin Brest,
770,Jerry Bruckheimer,/en/jerry_bruckheimer
771,Don Simpson,
772,Danilo Bach,
774,Daniel Petrie Jr.,/en/daniel_petrie_jr
776,Eddie Murphy,/en/eddie_murphy
777,Judge Reinhold,/en/judge_reinhold
778,John Ashton,/en/john_ashton
779,Lisa Eilbacher,/en/lisa_eilbacher
780,Ronny Cox,/en/ronny_cox
781,Paul Reiser,/en/paul_reiser
782,Steven Berkoff,/en/steven_berkoff
783,Jonathan Banks,/en/jonathan_banks
785,James Russo,/en/james_russo
786,Stephen Elliott,/en/stephen_elliott_1918
787,Gilbert R. Hill,
788,Art Kimbro,
789,Joel Bailey,
790,Michael Champion,
791,Mohamed Bustami,
792,Bruce Surtees,
793,Luis Buñuel,
794,Angelo P. Graham,
795,James J. Murakami,
796,John M. Dwyer,
797,Jeff Haley,
798,Tom Bronson,
799,Harold Faltermeyer,/en/harold_faltermeyer
800,Arthur Coburn,
801,Michael Glawogger,
803,Wolfgang Thaler,
804,Erich Lackner,
805,Rolf Schmid,
806,Shankar Loutakke,
813,Pierre Unik,
814,Tony Kaye,
815,Ramón Acín,
816,John Morrissey,
817,Rafael Sánchez Ventura,
818,David McKenna,/en/david_mckenna
819,Edward Norton,/en/edward_norton
820,Edward Furlong,/en/edward_furlong
821,Beverly D'Angelo,/en/beverly_dangelo
822,Avery Brooks,/en/avery_brooks
823,Jennifer Lien,/en/jennifer_lien
824,Ethan Suplee,/en/ethan_suplee
825,Stacy Keach,/en/stacy_keach
826,Fairuza Balk,/en/fairuza_balk
827,Elliott Gould,/en/elliott_gould
828,Guy Torry,/en/guy_torry
829,William Russ,
830,Joe Cortese,
831,Jason Bose Smith,
832,Antonio David Lyons,
833,Alex Sol,
